'language','auc_roc', tpr, fnr, tnr, fpr  
'de',0.7753557751203568,0.7684914333472629,0.23150856665273714,0.678082191780822,0.3219178082191781
'es',0.8039444863158887,0.7566889632107023,0.24331103678929766,0.7676056338028169,0.2323943661971831
"nl",0.7846473498193757,0.8101001669449082,0.1898998330550918,0.6588628762541806,0.3411371237458194
"ru",0.6719492478560383,0.9578237030788697,0.04217629692113033,0.15333333333333332,0.8466666666666667
"zh",0.8485312631137223,0.9974821653378095,0.002517834662190516,0.07333333333333333,0.9266666666666666
'ar',0.7616606041480588,0.991575400168492,0.008424599831508003,0.033444816053511704,0.9665551839464883
"uk",0.5564126525642115,0.9772151898734177,0.02278481012658228,0.040268456375838924,0.959731543624161
"cs",0.7671836193665411,0.8304730012557555,0.16952699874424446,0.5133333333333333,0.4866666666666667
"ca",0.6114206050467028,0.9845253032204099,0.01547469677959013,0.03,0.97pt,0.7705240499896318,0.86756077116513,0.13243922883487008,0.5888501742160279,0.41114982578397213
pt,0.7705240499896318,0.86756077116513,0.13243922883487008,0.5888501742160279,0.41114982578397213
